id,state_nm,country,Meal,Meal2,McMeal,Domestic_Beer,Imported_Beer,Cappuccino,Coke,Water,Milk,Bread,Rice,Eggs,Cheese
250,19,Ch,2.79,27.94,5.59,0.98,2.3,3.41,0.44,0.26,2.28,1.58,0.93,1.4,8.38
251,21,Do,3.23,16.15,4.85,1.94,2.91,2.94,1.02,0.66,3.08,1.89,2.78,2.85,16.28
252,21,Ch,4,17.96,4,1.65,3.05,0.79,0.72,0.31,0.74,0.47,1.46,2.3,4.92
253,18,In,4.66,27.95,5.59,1.86,2.89,1.57,0.91,0.63,1.06,1.2,1.18,1.75,8.16
254,21,Eg,1.34,8.46,3.34,1.34,3.3,1.08,0.22,0.14,0.49,0.42,0.73,0.88,6.37
255,22,Au,10.56,42.26,5.49,2.11,2.54,2.53,1.85,1.6,1.53,0.99,1.61,2.7,7.21
256,22,Sp,14.02,62.32,9.35,4.67,4.15,3.51,2.69,2.19,1.18,2.34,2.23,3.69,11.94
257,20,Un,20,70,9,5,5,4.57,2.21,1.77,1.12,3.25,4.58,3.68,10.46
258,19,Ch,3.53,22.36,5.59,1.3,3.35,1.56,0.84,0.45,1.17,1.26,0.86,2.04,7.45
259,19,Ch,2.72,25.94,6.23,1.22,1.43,1.97,0.73,0.52,1.16,1.24,1.69,1.35,4.67
260,21,Ch,2.33,12.24,3.67,1.84,3.37,1.49,0.41,0.22,0.65,0.39,0.67,0.95,6.44
261,21,Ch,4,22,4.5,1.5,2.25,1.01,0.83,0.48,1.15,1.17,1.46,1.48,3.97
262,20,Do,3.54,26.52,2.65,0.88,1.24,2.39,0.68,0.4,1.64,1.24,0.88,2.09,6.66
263,20,Do,7.78,44.43,6,3.11,2.89,2.93,1.33,1.27,0.76,0.97,1.32,2.46,7.38
264,19,Do,3.27,16.33,4.08,1.63,2.04,0.82,0.52,0.3,0.45,0.41,0.9,1.34,4.08
265,21,Do,3,18.37,3.17,1.22,1.5,1.81,0.88,0.47,1.34,0.95,2,1.73,9.11
266,19,Do,15.58,72.71,9.35,5.19,4.93,3.34,2.51,2.53,1.11,2,1.95,3.02,14.45
267,21,Do,19,80,9.04,7,9,5.17,2.53,2.29,1.32,4.25,4.42,4.56,13.55
268,20,Do,12,70.5,8.5,5.75,6.99,4.42,1.83,1.72,0.98,2.99,4.24,2.94,10.74
269,20,Do,2.23,13.97,3.84,1.4,4.89,3.49,0.49,0.28,2.41,1.68,0.98,2.68,10.74
270,19,Do,7.93,38.35,5.63,1.92,2.05,1.79,1.09,0.91,1.06,1.34,1.64,2.74,9.91
271,23,Do,2.45,12.24,3.06,2.45,6.12,1.39,0.35,0.17,0.62,0.47,0.59,1.11,4.95
272,21,Do,15,60,8.38,4,6,4.12,2.18,1.57,1.11,2.95,4.17,3.31,15.35
273,21,Pa,6.65,53.22,7.98,1.6,1.59,3.77,0.73,0.22,1.57,0.71,2.48,2.99,8.65
274,22,Un,18,69,8.7,6,8,4.81,2.36,1.79,1.07,2.75,3.16,3.59,13.8
275,21,In,1.74,26.75,8.56,1.07,1.87,2.74,0.48,0.31,0.77,1.09,1.14,1.64,4.34
276,24,Ch,5,30,11,2.37,5,2,1.37,1.2,2.1,0.75,0.73,2.6,14
277,22,Ir,4.66,22.36,5.78,1.49,2.24,1.47,0.93,0.49,1.04,1.13,1.07,1.67,6.94
278,21,Br,15,60,7.58,4.5,6,3.91,2.08,1.65,0.79,2.56,3.31,2.63,11.76
279,21,Ch,12,45,7.5,3.5,5.5,4,1.92,1.25,0.81,2.05,3.58,2.17,7.72
280,21,Un,5.49,16.41,4.22,2,1.71,1.69,0.4,0.19,1.07,0.78,1.05,1.62,4.6
281,21,Ch,1.22,15.59,4.01,1.89,3.56,0.97,0.27,0.22,0.62,0.37,0.7,1.08,6.61
282,20,Et,9.83,49.13,6.35,2.46,4.09,2.69,1.24,0.69,1.27,0.7,1.76,1.76,11.28
283,24,Ch,2.45,7.35,2.45,1.53,2.82,0.92,0.34,0.11,0.67,0.31,0.67,0.91,3.86
284,18,Ch,3.67,9.79,4.59,1.84,3.06,1.64,0.38,0.18,0.72,0.46,0.74,0.85,3.72
285,22,So,1.59,9.53,3.18,2.38,2.54,1.31,0.41,0.2,1.11,0.95,0.79,1.27,6.03
286,25,Un,2.48,19.01,2.61,1.06,2.12,1.63,0.34,0.3,1.86,0.46,0.78,1.49,2.12
287,22,Ch,19,77.5,8,5,6,4.14,1.72,1.31,0.85,3.11,3.9,3.79,12.26
288,18,Ch,6.49,25.94,7.26,2.33,3.89,2.44,1.05,0.64,1.15,1.62,1.34,1.73,5.1
289,22,Ch,1.35,7.35,3.67,1.29,3.06,1.22,0.39,0.18,0.55,0.5,0.61,0.78,5.36
290,21,Ch,17.5,55,10.76,3,5,4.5,3.25,1.7,1.32,2.65,4.13,2.2,12.49
291,21,Ch,3.67,10.41,4.16,2.63,4.28,1.93,0.43,0.16,0.72,0.5,0.67,0.9,6.12
292,24,Ch,2.45,7.96,3.98,2.45,3.67,0.84,0.31,0.12,0.55,0.35,0.61,0.88,3.47
293,21,Un,5.71,20.76,4.51,1.82,2.08,3.37,0.74,0.52,1.14,2.13,1.68,1.8,7.26
294,21,Br,3.56,68.97,2.9,1,0.5,1.98,0.91,0.47,2.78,0.65,5.87,2.47,9.84
295,21,Ch,15,62.5,8.25,5,6,4.43,2.11,1.56,0.8,2.32,3.31,2.34,10.37
